algorithm,augmentation,level,silhouette,davies_bouldin,calinski_harabasz,stability_ari,max_cluster_share,degenerate
kmeans,noise,0.0,0.11685004380446325,1.6516700581924422,829.6187350666683,1.0,0.35445033682098326,False
gmm_full,noise,0.0,0.07910721721388446,2.2486333549514694,439.8547984706208,1.0,0.5563995986813817,False
gmm_diag,noise,0.0,0.08560593005453343,1.8683336528425394,577.6733554753376,1.0,0.3441307152071091,False
ahc_ward,noise,0.0,0.13560290272101821,1.4807494904798755,681.9208738632564,1.0,0.4997850078830443,False
ahc_avg,noise,0.0,0.6595623837811271,0.5705149307792602,190.20502835752217,1.0,0.994266876881181,True
spectral,noise,0.0,0.10833004871673092,1.5645923077105177,565.4917350528552,1.0,0.46638956571592377,False
dbscan,noise,0.0,,,,1.0,1.0,True
kmeans,noise,0.01,0.1148554640103989,1.6553243650656317,829.6237479873939,0.9352966821787084,0.3485738856241938,False
gmm_full,noise,0.01,0.08320191006506981,2.1809776434102175,656.4435861535267,0.3346092714058598,0.3626200372653003,False
gmm_diag,noise,0.01,0.0701623206826345,2.1488469979745206,569.3771481940298,0.5672595360474524,0.26429697577755484,False
ahc_ward,noise,0.01,0.19232786347369923,1.465560139165109,640.135520749689,0.400244890685141,0.6793750895800488,False
ahc_avg,noise,0.01,0.6603532962987626,0.5719232049535755,193.90119387613643,0.9375578288753262,0.9941235488032105,True
spectral,noise,0.01,0.10786399921499844,1.56652065585399,563.125388929142,0.9378524836718515,0.470689408055038,False
dbscan,noise,0.01,,,,1.0,1.0,True
kmeans,noise,0.05,0.11411099438244413,1.6640542947626855,826.6126286286543,0.929911996149524,0.3495771821699871,False
gmm_full,noise,0.05,0.09514831109591786,2.060813380172703,678.7715781071917,0.31034202962773566,0.3902823563136018,False
gmm_diag,noise,0.05,0.06626381753296472,2.128205589986366,589.9791522467513,0.5513280909757661,0.26343700730973196,False
ahc_ward,noise,0.05,0.06952125768658761,1.8434958585118968,637.5131582091557,0.25778516054450684,0.4037551956428264,False
ahc_avg,noise,0.05,0.6966058065828059,0.5479534371179927,189.6662830875082,0.8518579436232309,0.9949835172710334,True
