algorithm,augmentation,level,silhouette,davies_bouldin,calinski_harabasz,stability_ari,max_cluster_share,degenerate
kmeans,noise,0.0,0.10390173535925568,1.7529142672160027,775.205210435298,1.0,0.2738999570015766,False
gmm_full,noise,0.0,0.030537617897503894,2.2252034921945265,534.0242117924387,1.0,0.481868998136735,False
gmm_diag,noise,0.0,0.04664499289036454,2.3270086579890874,499.7783468161474,1.0,0.4037551956428264,False
ahc_ward,noise,0.0,0.1419172628436129,1.3886125447205155,656.9441291614235,1.0,0.4997850078830443,False
ahc_avg,noise,0.0,0.6380946051378003,0.5506599805521472,165.17655895184214,1.0,0.9941235488032105,True
spectral,noise,0.0,0.14451450901637064,1.5062347350257173,523.8319493165523,1.0,0.4693994553533037,False
dbscan,noise,0.0,,,,1.0,1.0,True
kmeans,noise,0.01,0.11752887124006141,1.5048346333713183,787.6900966550164,0.548127211290848,0.3547369929769242,False
gmm_full,noise,0.01,0.061601506685873955,2.262159018536572,614.1828677931217,0.2869254681064846,0.27490325354736994,False
gmm_diag,noise,0.01,0.05274798078162919,2.289811344397944,537.0607063480104,0.4597700944876595,0.24939085566862548,False
ahc_ward,noise,0.01,0.1885408133594176,1.4072435537023016,619.6130170476986,0.40038966877195326,0.6793750895800488,False
ahc_avg,noise,0.01,0.6385285782730309,0.5519076238282636,168.3552317544191,0.939050602609979,0.9939802207252401,True
spectral,noise,0.01,0.14379951972572627,1.5132958385799193,524.8126272293441,0.9860570139347002,0.4695427834312742,False
dbscan,noise,0.01,,,,1.0,1.0,True
kmeans,noise,0.05,0.12095137023372482,1.5256366304403934,786.6550605322292,0.5383388068505524,0.35101046294969185,False
gmm_full,noise,0.05,0.0732781807838118,2.1844547824960623,638.4981643387703,0.2321165192401442,0.30543213415508097,False
gmm_diag,noise,0.05,0.04916162820926661,2.1580713938809097,543.5893289813375,0.290327472824171,0.21814533467106206,False
ahc_ward,noise,0.05,0.0733403133052924,1.813811289139747,617.7386138209821,0.2620233663232222,0.4037551956428264,False
ahc_avg,noise,0.05,0.6410451003537766,0.5270405973156018,164.7049340536385,0.8556776322639503,0.9948401891930629,True
spectral,noise,0.05,0.14439190216607964,1.5042355292460436,519.7097659395447,0.970227488724522,0.470689408055038,False
dbscan,noise,0.05,,,,0.9942326461202017,1.0,True
kmeans,noise,0.1,0.11993548757326278,1.5356501054330325,777.0382896869911,0.5450969969065905,0.3524437437293966,False
gmm_full,noise,0.1,0.057435372399756185,2.2374983633606957,604.3898441283594,0.27909424815636025,0.27146337967607853,False
gmm_diag,noise,0.1,0.055064229440437255,2.2956076534510563,542.60063257957,0.27178820672349874,0.22975490898667048,False
ahc_ward,noise,0.1,0.11725549022827073,1.5629585236414445,638.1761515533336,0.3531952950209365,0.48530887200802636,False
ahc_avg,noise,0.1,0.6905174960162102,0.561547767195348,163.59081981363124,0.8405019673036989,0.9949835172710334,True
spectral,noise,0.1,0.14298746421749262,1.5118562679511047,513.1795593427192,0.9514296749591402,0.4698294395872151,False
dbscan,noise,0.1,,,,0.9942326461202017,1.0,True
kmeans,noise,0.2,0.11294932001184195,1.5856214173954417,740.7284021379629,0.5236179729357567,0.355883617600688,False
gmm_full,noise,0.2,0.05011137272312685,2.2771862987488056,562.8806519370047,0.2597874632921742,0.29167263866991544,False
gmm_diag,noise,0.2,0.06135305393106618,2.227997615105224,564.6302942625664,0.27260140920768067,0.23649132865128278,False
ahc_ward,noise,0.2,0.15136655855166475,1.325821182927018,604.7396144466636,0.4615208858777736,0.6074243944388705,False
ahc_avg,noise,0.2,0.6285462739706977,0.5573969920586334,160.68563048385113,0.939050602609979,0.9939802207252401,True
spectral,noise,0.2,0.12041212195163727,1.5691329280088389,547.9271054884305,0.45330397884881507,0.3323778128135302,False
dbscan,noise,0.2,,,,0.9884685996834887,1.0,True
kmeans,dropout,0.0,0.10390173535925568,1.7529142672160027,775.205210435298,1.0,0.2738999570015766,False
gmm_full,dropout,0.0,0.030537617897503894,2.2252034921945265,534.0242117924387,1.0,0.481868998136735,False
gmm_diag,dropout,0.0,0.04664499289036454,2.3270086579890874,499.7783468161474,1.0,0.4037551956428264,False
ahc_ward,dropout,0.0,0.1419172628436129,1.3886125447205155,656.9441291614235,1.0,0.4997850078830443,False
ahc_avg,dropout,0.0,0.6380946051378003,0.5506599805521472,165.17655895184214,1.0,0.9941235488032105,True
spectral,dropout,0.0,0.14451450901637064,1.5062347350257173,523.8319493165523,1.0,0.4693994553533037,False
dbscan,dropout,0.0,,,,1.0,1.0,True
kmeans,dropout,0.05,0.10671418817260431,1.6045804012616904,717.1962090087073,0.5122380312437256,0.35430700874301274,False
gmm_full,dropout,0.05,-0.008849994547611808,5.533944090050588,277.427603906084,0.3154810171455799,0.42539773541636805,False
gmm_diag,dropout,0.05,0.042134366218387405,2.4266952027680286,495.240434570639,0.24387643617820642,0.20309588648416224,False
ahc_ward,dropout,0.05,0.10356139990334225,1.679306067101216,569.8079954940735,0.31894012989351184,0.5177010176293536,False
ahc_avg,dropout,0.05,0.7062188735068625,0.5402274634217168,156.28407697928606,0.8089881518609183,0.9952701734269743,True
spectral,dropout,0.05,0.10866622956548147,1.5957140154757545,541.975522785521,0.44824262393707515,0.3141751469112799,False
dbscan,dropout,0.05,,,,0.9714747767145655,1.0,True
kmeans,dropout,0.1,0.08750450067694064,1.888406118223338,663.474348119011,0.856255574726775,0.28493621900530314,False
gmm_full,dropout,0.1,-0.019250712261934522,4.716091445450781,362.8040148232282,0.1515134708023502,0.26931345850652144,False
gmm_diag,dropout,0.1,0.04295360097455365,2.5146336846709816,476.1608073440663,0.24924536435163308,0.22029525584061918,False
ahc_ward,dropout,0.1,0.04861765164658498,1.9576899257924634,550.3748986256646,0.31892389415256167,0.37895943815393435,False
ahc_avg,dropout,0.1,0.7128417184645846,0.5131960211162091,126.88515945685694,0.6642642625702034,0.9964167980507381,True
spectral,dropout,0.1,0.10325693107851082,1.6474271911985934,511.41096958769367,0.44604817486865495,0.313601834599398,False
dbscan,dropout,0.1,,,,0.9277473696160972,1.0,True
kmeans,dropout,0.2,0.07029105878387745,2.0452776941528295,556.8354672658353,0.8062898127433777,0.2809230328221299,False
gmm_full,dropout,0.2,-0.015269604179203356,5.519197172021654,339.59833377577434,0.2676875383261136,0.34714060484448905,False
gmm_diag,dropout,0.2,0.03164146225987416,2.708714684913603,419.4351057503892,0.24168360951041207,0.23591801633940088,False
ahc_ward,dropout,0.2,0.03974679898610234,2.031867074212719,454.5378345027042,0.19387061173582232,0.4169413788161101,False
ahc_avg,dropout,0.2,0.72292670524693,0.5443481927308155,113.53494951811885,0.6641672800582433,0.9964167980507381,True
spectral,dropout,0.2,0.08234395207774504,1.8019949828437187,438.1208059983624,0.4249551463765357,0.32693134585065214,False
dbscan,dropout,0.2,,,,0.8296468489490106,1.0,True
kmeans,drift,0.0,0.10390173535925568,1.7529142672160027,775.205210435298,1.0,0.2738999570015766,False
gmm_full,drift,0.0,0.030537617897503894,2.2252034921945265,534.0242117924387,1.0,0.481868998136735,False
gmm_diag,drift,0.0,0.04664499289036454,2.3270086579890874,499.7783468161474,1.0,0.4037551956428264,False
ahc_ward,drift,0.0,0.1419172628436129,1.3886125447205155,656.9441291614235,1.0,0.4997850078830443,False
ahc_avg,drift,0.0,0.6380946051378003,0.5506599805521472,165.17655895184214,1.0,0.9941235488032105,True
spectral,drift,0.0,0.14451450901637064,1.5062347350257173,523.8319493165523,1.0,0.4693994553533037,False
dbscan,drift,0.0,,,,1.0,1.0,True
kmeans,drift,0.01,0.11588060867729558,1.5039037472797816,787.6776954355504,0.5179387322900898,0.350150494481869,False
gmm_full,drift,0.01,0.031052183704079993,2.2319234935022747,537.4393342003647,0.9618112643959753,0.47384262577038844,False
gmm_diag,drift,0.01,0.05230639930336674,2.4266764242639427,505.54228946219723,0.4185868433267389,0.31288519420954564,False
ahc_ward,drift,0.01,0.06842867229673671,1.89651477027466,634.3016672218536,0.2949627286587891,0.3289379389422388,False
ahc_avg,drift,0.01,0.6419030899152063,0.52680918862532,165.22428705889055,0.8556776322639503,0.9948401891930629,True
spectral,drift,0.01,0.14390696677706047,1.5122258839718603,525.0104411070272,0.9932890844498096,0.4698294395872151,False
dbscan,drift,0.01,,,,1.0,1.0,True
kmeans,drift,0.05,0.1220328260211929,1.5216529331643582,789.4422910175309,0.5391659720848158,0.3523004156514261,False
gmm_full,drift,0.05,0.05920279445949279,2.2603269516942954,538.4511440352043,0.4182878110415476,0.3511537910276623,False
gmm_diag,drift,0.05,0.05127836284737209,2.409153849321453,509.7598136654114,0.34753896532491746,0.2498208399025369,False
ahc_ward,drift,0.05,0.1250835266482518,1.533035674524799,644.2439413024181,0.50136334537197,0.46036978644116383,False
ahc_avg,drift,0.05,0.6420436294763142,0.5267993986916599,165.18315925443713,0.8556776322639503,0.9948401891930629,True
spectral,drift,0.05,0.10254702660583258,1.5307468306632726,538.0385986015106,0.6334725773135786,0.3490038698581052,False
dbscan,drift,0.05,,,,1.0,1.0,True
kmeans,drift,0.1,0.11630191472274093,1.5138719351466567,787.5733248979343,0.5163252971403459,0.35273039988533755,False
gmm_full,drift,0.1,0.05649960951703699,2.3056554852930957,534.2120104108919,0.4080529530394029,0.35387702450910136,False
gmm_diag,drift,0.1,0.041131052931703896,2.4010866713707593,502.4411948396988,0.26737021212910866,0.2106922746165974,False
ahc_ward,drift,0.1,0.13561144707020878,1.429749296754423,645.1180964244809,0.5129642064778704,0.5144044718360327,False
ahc_avg,drift,0.1,0.6421678246690331,0.5268200956424878,165.0908554268276,0.8556776322639503,0.9948401891930629,True
spectral,drift,0.1,0.1445839700251285,1.505519760520976,523.0893388802255,0.9818871577047732,0.46882614304142184,False
dbscan,drift,0.1,,,,1.0,1.0,True
